Ship Draw,Lerp Draw,Turret Draw,Planets Draw,Ship Update,Lerp Update,turret Update,planets update
0.00275236,3.69831e-006,5.58856e-005,0.000652546,0.000550226,1.23277e-006,3.28739e-006,0
0.00294755,3.69831e-006,6.04057e-005,0.000693639,0.000147521,1.23277e-006,3.28739e-006,0
0.0029381,3.69831e-006,5.75293e-005,0.000675558,0.000386268,1.23277e-006,3.28739e-006,4.10923e-007
0.00287318,3.28739e-006,5.75293e-005,0.000670216,0.000572416,1.64369e-006,3.69831e-006,0
0.00295166,3.69831e-006,6.12276e-005,0.000691584,0.000157384,1.23277e-006,3.28739e-006,4.10923e-007
0.00284934,3.28739e-006,5.3831e-005,0.000688297,0.000156151,1.64369e-006,2.87646e-006,4.10923e-007
0.00287852,3.69831e-006,5.67074e-005,0.000693228,0.000374351,1.64369e-006,3.28739e-006,0
0.00277661,3.28739e-006,5.342e-005,0.000669394,0.00036942,1.64369e-006,3.28739e-006,4.10923e-007
0.00285551,1.15059e-005,5.3831e-005,0.000651724,0.000357092,1.64369e-006,3.28739e-006,4.10923e-007
0.00279551,3.69831e-006,6.4104e-005,0.000670216,0.000581867,1.64369e-006,3.28739e-006,4.10923e-007
0.00277003,3.28739e-006,5.30091e-005,0.000677202,0.000586799,1.64369e-006,3.28739e-006,4.10923e-007
0.00292249,3.69831e-006,5.3831e-005,0.000670627,0.000373529,1.23277e-006,3.28739e-006,4.10923e-007
0.00286126,3.69831e-006,5.67074e-005,0.000705555,0.000378049,2.05462e-006,3.69831e-006,0
0.00291673,4.10923e-006,5.99948e-005,0.000691995,0.000380515,1.64369e-006,3.28739e-006,4.10923e-007
0.00292084,3.69831e-006,6.69805e-005,0.000692406,0.000359147,1.23277e-006,3.28739e-006,0
0.00286742,3.69831e-006,5.75293e-005,0.000670627,0.000150398,1.23277e-006,2.87646e-006,4.10923e-007
0.00288674,3.69831e-006,6.08167e-005,0.000690351,0.000586388,1.23277e-006,3.28739e-006,4.10923e-007
